State,Year,Food Insecurity Rate,Food Insecurity Rate among Black Persons,Food Insecurity Rate among Hispanic Persons,Food Insecurity Rate among White Persons,Child Food Insecurity Rate,Cost Per Meal
AL,2019,0.168238806,0.272923077,0.127,0.133939394,0.230373134,3.134029851
AL,2020,0.161283582,0.27609375,0.145882353,0.108181818,0.23,3.245373134
AL,2021,0.149955224,0.265873016,0.128181818,0.110769231,0.198358209,3.571343284
AL,2022,0.17661194,0.30859375,0.192647059,0.13203125,0.255074627,4.002686567
AK,2019,0.147827586,0.163333333,0.135555556,0.091666667,0.200827586,3.986551724
AK,2020,0.1342,0.166666667,0.151111111,0.075833333,0.181966667,4.140333333
AK,2021,0.125866667,0.15,0.114444444,0.0792,0.154233333,4.662333333
AK,2022,0.1421,0.203333333,0.18,0.094615385,0.1913,5.105666667
AZ,2019,0.157666667,0.227,0.180666667,0.123333333,0.2292,3.131333333
AZ,2020,0.147533333,0.228888889,0.178,0.098,0.218266667,3.210666667
AZ,2021,0.1282,0.214,0.146666667,0.094666667,0.174066667,3.521333333
AZ,2022,0.158666667,0.255555556,0.206666667,0.122666667,0.226933333,3.882666667
AR,2019,0.17432,0.259148936,0.208285714,0.158,0.238853333,2.873733333
AR,2020,0.164493333,0.252173913,0.196923077,0.135866667,0.228466667,2.972533333
AR,2021,0.160053333,0.248666667,0.184473684,0.143466667,0.206973333,3.328266667
AR,2022,0.19184,0.304666667,0.233888889,0.1656,0.265373333,3.6976
CA,2019,0.115982759,0.18175,0.155357143,0.086206897,0.160862069,3.568103448
CA,2020,0.116655172,0.18425,0.162181818,0.064137931,0.164344828,3.827931034
CA,2021,0.105862069,0.179268293,0.135636364,0.069137931,0.135396552,4.129655172
CA,2022,0.128758621,0.22952381,0.195,0.093793103,0.174775862,4.524482759
CO,2019,0.11090625,0.117857143,0.183673469,0.09625,0.142390625,3.456875
CO,2020,0.106546875,0.132857143,0.190425532,0.072539683,0.147171875,3.58921875
CO,2021,0.102140625,0.130714286,0.1775,0.07734375,0.12140625,3.931875
CO,2022,0.127515625,0.184285714,0.230222222,0.099206349,0.16290625,4.35171875
CT,2019,0.10925,0.23,0.245,0.07875,0.129375,3.65
CT,2020,0.11,0.2225,0.24625,0.0625,0.130125,3.90625
CT,2021,0.103,0.2125,0.21125,0.0675,0.10375,4.165
CT,2022,0.128111111,0.242222222,0.264444444,0.09,0.154444444,4.561111111
DE,2019,0.113666667,0.176666667,0.193333333,0.093333333,0.162,3.34
DE,2020,0.111333333,0.18,0.19,0.073333333,0.177666667,3.52
DE,2021,0.102333333,0.17,0.186666667,0.08,0.155,3.803333333
DE,2022,0.13,0.223333333,0.25,0.1,0.204666667,4.2
DC,2019,0.103,0.19,0.08,0.02,0.165,4.35
DC,2020,0.098,0.2,0.11,,0.162,4.49
DC,2021,0.091,0.19,0.09,0,0.14,4.74
DC,2022,0.113,0.24,0.15,0.02,0.17,5.25
FL,2019,0.133462687,0.215846154,0.137090909,0.106567164,0.194910448,3.366865672
FL,2020,0.126492537,0.21,0.14,0.08358209,0.178955224,3.477910448
FL,2021,0.113402985,0.193833333,0.111272727,0.086567164,0.152850746,3.806567164
FL,2022,0.139149254,0.240166667,0.175357143,0.111940299,0.207537313,4.188208955
GA,2019,0.144283019,0.209858156,0.159101124,0.110754717,0.189345912,3.105408805
GA,2020,0.133811321,0.200492958,0.169642857,0.089056604,0.177534591,3.249496855
GA,2021,0.121823899,0.185531915,0.141139241,0.089746835,0.151779874,3.518238994
GA,2022,0.151968553,0.226950355,0.206966292,0.112911392,0.216823899,3.964716981
HI,2019,0.1272,,0.17,0.0925,0.1804,3.762
HI,2020,0.1398,,0.19,0.075,0.2424,4.178
HI,2021,0.1272,,0.1625,0.0775,0.1698,5.196
HI,2022,0.1324,,0.2275,0.1,0.2136,5.62
ID,2019,0.111818182,,0.1676,0.106511628,0.137863636,3.264772727
ID,2020,0.10275,,0.179565217,0.085116279,0.133840909,3.677727273
ID,2021,0.094454545,,0.1648,0.085348837,0.111727273,4.050454545
ID,2022,0.123681818,,0.2232,0.105581395,0.163840909,4.477272727
IL,2019,0.111872549,0.206097561,0.153125,0.098039216,0.144284314,2.910882353
IL,2020,0.108882353,0.205909091,0.1704,0.077843137,0.133666667,3.083431373
IL,2021,0.098156863,0.208,0.141372549,0.082254902,0.104235294,3.483235294
IL,2022,0.129392157,0.267142857,0.206981132,0.106568627,0.162882353,3.900294118
IN,2019,0.12548913,0.225714286,0.177142857,0.119673913,0.15623913,2.84076087
IN,2020,0.12125,0.211666667,0.190204082,0.098913043,0.152380435,2.95076087
IN,2021,0.106597826,0.197419355,0.17,0.103152174,0.115065217,3.284130435
IN,2022,0.139576087,0.251333333,0.229615385,0.126521739,0.169652174,3.692934783
IA,2019,0.087949495,0.268333333,0.146410256,0.082929293,0.128707071,3.034141414
IA,2020,0.079494949,0.267333333,0.149285714,0.064040404,0.118292929,3.184141414
IA,2021,0.077424242,,0.128695652,0.069292929,0.099919192,3.584040404
IA,2022,0.108333333,,0.192142857,0.094141414,0.157454545,3.944646465
KS,2019,0.120038095,0.221333333,0.173902439,0.110096154,0.174590476,3.082
KS,2020,0.104285714,0.236875,0.18025,0.086990291,0.154638095,3.14552381
KS,2021,0.09512381,0.246428571,0.159230769,0.087087379,0.130742857,3.528571429
KS,2022,0.129371429,0.29,0.225641026,0.109423077,0.192552381,3.951904762
KY,2019,0.164075,0.210851064,0.190344828,0.163416667,0.208116667,2.848583333
KY,2020,0.155458333,0.210697674,0.183793103,0.140666667,0.190233333,2.906
KY,2021,0.143408333,0.193421053,0.164,0.140166667,0.164275,3.227166667
KY,2022,0.175358333,0.249761905,0.217941176,0.164583333,0.227083333,3.605083333
LA,2019,0.161296875,0.234444444,0.171944444,0.12359375,0.245171875,3.04828125
LA,2020,0.153828125,0.234285714,0.18,0.1034375,0.240328125,3.171875
LA,2021,0.141421875,0.226031746,0.151388889,0.11140625,0.21078125,3.52625
LA,2022,0.170140625,0.268730159,0.209677419,0.13609375,0.260359375,3.93515625
ME,2019,0.1310625,,,0.134375,0.1995,3.91
ME,2020,0.118375,,,0.111875,0.186625,3.905
ME,2021,0.1118125,,,0.113125,0.1600625,4.078125
ME,2022,0.137375,,,0.1375,0.2045,4.4425
MD,2019,0.115458333,0.191304348,0.121818182,0.075,0.156416667,3.387083333
MD,2020,0.108666667,0.193913043,0.120434783,0.055416667,0.138791667,3.581666667
MD,2021,0.104041667,0.184782609,0.103181818,0.060416667,0.115291667,3.904583333
MD,2022,0.127333333,0.231304348,0.162608696,0.082083333,0.161583333,4.313333333
MA,2019,0.081642857,0.183333333,0.1625,0.071428571,0.095285714,3.933571429
MA,2020,0.091785714,0.2025,0.177692308,0.052857143,0.126,4.201428571
MA,2021,0.0765,0.199166667,0.1475,0.056428571,0.0835,4.447142857
MA,2022,0.098928571,0.245833333,0.196666667,0.077857143,0.128714286,4.878571429
MI,2019,0.139542169,0.247058824,0.18745098,0.127228916,0.153722892,3.105662651
MI,2020,0.138939759,0.252820513,0.202592593,0.103855422,0.159759036,3.262891566
MI,2021,0.124542169,0.265588235,0.167222222,0.105903614,0.122843373,3.564096386
